t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob
3.609022378921509	21.584899563813547	4.657019376754761	21.548603045530008	5.704667091369629	26.857372379130837	6.746500015258789	21.532364675584514	7.795177459716797	-23.383464523270984	1.0257806777954102	4.6009795	2.569758415222168	0.000187697268
11.946804761886597	21.482393394684333	12.976793766021729	21.565583257277083	14.032305002212524	21.5316873278527	15.072153329849243	26.89399618555528	16.10336446762085	-13.003238356361665	9.34182357788086	4.61921281	10.892982959747314	0.000186880544
20.244141340255737	21.450950387998486	21.289634466171265	28.294367253765518	22.338659524917603	21.551647268053514	23.36912250518799	17.124459468453356	24.417409896850586	-40.417330758825955	17.661376237869263	4.61061578	19.199159383773804	0.000187396753
28.56778836250305	30.377559972408065	29.61413264274597	31.311038390299018	30.658236026763916	21.55310499342041	31.70506477355957	21.548020986455064	32.74921536445618	21.416559084102506	25.962581157684326	4.62102733	27.516205549240112	0.000188290306
36.88280177116394	32.67755375244021	37.93272089958191	29.937541071823407	38.96638035774231	21.551804372693166	40.011451959609985	21.55064025328503	41.05539321899414	21.378338923688172	34.28710126876831	4.59085226	35.83082151412964	0.000186588941
45.19687747955322	34.02772674556501	46.24119234085083	21.541564260017203	47.28029823303223	21.552242205343553	48.325931787490845	14.029937305346458	49.388627767562866	13.443676047121413	42.610657930374146	4.61045985	44.152514696121216	0.000187055916
53.52284359931946	60.99740222231383	54.58169937133789	21.55307408757412	55.640950441360474	21.532918401048985	56.68579912185669	24.818641102556775	57.73162841796875	-41.13433644091943	50.94016885757446	4.62063581	52.48369836807251	0.000187002013
61.86547565460205	21.45491647257762	62.91049814224243	21.55675188574413	63.95733046531677	29.235560300364973	65.00936985015869	21.55196662831417	66.05367422103882	21.377084761264882	59.27636432647705	4.61192615	60.82575488090515	0.000185920102
70.18002653121948	31.491376100683237	71.23150134086609	29.551792565978694	72.26634478569031	29.517122376103668	73.29497218132019	21.5517580139461	74.34164881706238	-28.1418316676817	67.59778094291687	4.61528972	69.13396048545837	0.000186719037
78.48597359657288	29.687252997244478	79.51937985420227	17.9488578135668	80.56415939331055	21.55227568666681	81.61108207702637	21.53931844582011	82.65315961837769	21.391099494770504	75.88774085044861	4.63095071	77.42756676673889	0.000185929075
86.7900800704956	21.477433152974335	87.83963298797607	21.557176841733757	88.87527060508728	29.30920257633767	89.92118406295776	21.552443093289178	90.95426988601685	0.04877726714909269	84.20291113853455	4.61168238	85.7450954914093	0.000186597928
95.09018516540527	74.54699119762037	96.13666892051697	21.542730950946677	97.18365859985352	21.538612766067903	98.23486089706421	21.541293835040985	99.28204035758972	21.97307660883431	92.50164151191711	4.60170959	94.04288244247437	0.00018699314
103.3999719619751	21.523960940576245	104.44685697555542	21.544307143483422	105.48947310447693	21.555487320128314	106.53500628471375	16.896264671112853	107.57826638221741	20.58079549811477	100.81802773475647	4.5998219	102.36702275276184	0.000187307407
111.71363139152527	75.51956701252487	112.76241827011108	21.584188721460983	113.80581378936768	21.54113415554426	114.85956239700317	21.5435164716198	115.89464664459229	-19.923073908498544	109.13196063041687	4.6110229	110.67819833755493	0.00018725362
120.02878975868225	21.46667312310003	121.07098579406738	21.562709002044702	122.10931754112244	21.53964038007677	123.14537739753723	21.54146124097538	124.19537997245789	-15.605068361947591	117.44365096092224	4.59702137	118.98551821708679	0.000185978645
128.32407069206238	31.76448635576991	129.36625003814697	16.579207042558263	130.42219948768616	21.53896045497314	131.47442841529846	21.54369417960772	132.51849102973938	13.021939295360104	125.74671864509583	4.61218657	127.28365445137024	0.000186894474
136.64996075630188	78.29143791192162	137.70051169395447	27.841470113171265	138.74085426330566	21.541193391485457	139.79792141914368	21.54441788907272	140.85219025611877	9.606113955984336	134.06705236434937	4.63078343	135.61253547668457	0.000187441887
