t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_flow	V_flow	t_block_prob	V_block_prob
4.122920274734497	19.6867975077616	5.669555187225342	19.640525871902653	7.203890800476074	19.611964931195907	8.73475694656372	19.591448466617674	1.033921718597412	2.61312844	2.575531244277954	0.000208200389
13.381361484527588	19.68248053686168	14.907036304473877	19.63139769088507	16.446204662322998	19.60632225524405	17.983485460281372	19.58777507232093	10.292574405670166	2.62539374	11.843142032623291	0.000208595544
22.589978456497192	19.674263618811523	24.126503944396973	19.62695973911193	25.65052843093872	19.60428090477039	27.17974615097046	19.58509274909849	19.526344299316406	2.62397893	21.059423208236694	0.000208052334
31.78153681755066	19.676832692816063	33.31737804412842	19.632473714203577	34.85180401802063	19.605604049919222	36.378644943237305	19.58470404399124	28.714715003967285	2.62120898	30.25076389312744	0.000205960308
40.9846510887146	19.669933776739082	42.528199672698975	19.62911435937213	44.06574487686157	19.599639601432067	45.607744216918945	19.580719174309802	37.915751218795776	2.63345483	39.461061239242554	0.000208335049
50.223634243011475	19.665346512663145	51.75524139404297	19.618753136241303	53.29306602478027	19.59198390195209	54.81947183609009	19.57420901427122	47.142017126083374	2.64298714	48.68289875984192	0.000207226624
59.41950821876526	19.666211451319132	60.95646667480469	19.616765841796617	62.481609582901	19.594159108371077	64.01667594909668	19.571403134705754	56.34715938568115	2.60130356	57.887359857559204	0.000208119866
68.61117577552795	19.661346171571918	70.13992619514465	19.619818861643637	71.66268134117126	19.594012378451993	73.19271564483643	19.575714922612626	65.55800271034241	2.61328283	67.08341836929321	0.000207626224
77.80785155296326	19.65854799241013	79.3402681350708	19.61878660104711	80.87392473220825	19.588596244403046	82.43410992622375	19.570257615422175	74.7271478176117	2.62278438	76.26989436149597	0.000207801344
87.08045792579651	19.659034520326617	88.62044334411621	19.616189217568134	90.16116094589233	19.589677411543644	91.7151255607605	19.5718407488689	83.98400378227234	2.61402443	85.53697896003723	0.000207168433
96.33300852775574	19.65873848482109	97.86836242675781	19.615463288895146	99.40221095085144	19.590938773400733	100.93397998809814	19.56835785581468	93.25245332717896	2.6332689	94.78903269767761	0.000208569215
105.5286705493927	19.656218321794793	107.06084203720093	19.610281395241472	108.5874388217926	19.585540660969688	110.12670135498047	19.569060612349656	102.46663856506348	2.63380425	103.99778366088867	0.000207554769
114.73684620857239	19.655991790296344	116.28770804405212	19.610296840524175	117.82340025901794	19.584093957209422	119.35965824127197	19.567338472851706	111.66379117965698	2.6130386	113.20296168327332	0.000208973135
123.98645734786987	19.651803532112197	125.52448225021362	19.610034270721417	127.06249499320984	19.58195221837043	128.5993790626526	19.560264577675646	120.90158104896545	2.62307835	122.44653105735779	0.000207406631
133.22838854789734	19.653054603636978	134.7651665210724	19.612464328764943	136.30329871177673	19.582940713139	137.84118366241455	19.563322723457965	130.14725279808044	2.61341128	131.6972677707672	0.000207837126
142.45114398002625	19.650320780753436	143.99226093292236	19.609534873272576	145.54246401786804	19.581815785509622	147.06912231445312	19.561698405085124	139.37323808670044	2.63270414	140.91213750839233	0.000207760818
151.68908166885376	19.65021781191234	153.23412775993347	19.613941927898683	154.76090478897095	19.585669371282595	156.3033983707428	19.57757349714129	148.6098918914795	2.63439297	150.14025568962097	0.000206876304
160.92290878295898	19.66642768598511	162.44992351531982	19.635009319695932	163.98120379447937	19.60178391931197	165.51725721359253	19.589054453315264	157.83832907676697	2.63325377	159.3794927597046	0.000207473263
170.1449375152588	19.687250570884533	171.695392370224	19.667992813113745	173.23943758010864	19.62897535160317	174.7736632823944	19.62625697773997	167.05539345741272	2.64349814	168.60586667060852	0.000207630476
179.38230895996094	19.718231321794885	180.92421793937683	19.696638758707202	182.47137141227722	19.658167007591274	184.01104140281677	19.661626761765632	176.3082230091095	2.64791468	177.84441757202148	0.000206575735
188.64309406280518	19.747222148161857	190.18724918365479	19.744282396260964	191.72516679763794	19.699166644387287	193.26059579849243	19.70270877305553	185.54864597320557	2.65175806	187.09005284309387	0.00020746909
197.87768292427063	19.784978045884916	199.44252848625183	19.773440469441617	200.98901629447937	19.73161725616141	202.51728773117065	19.745167925822102	194.79753971099854	2.67239008	196.33442211151123	0.000207320851
207.1339201927185	19.822831534989973	208.67781734466553	19.82117633560139	210.22591996192932	19.77253692346812	211.7703342437744	19.78351075148498	204.05429697036743	2.65317185	205.59086728096008	0.000208214031
216.40058779716492	19.86541858881783	217.94192552566528	19.86459485913408	219.47896480560303	19.820427248282666	221.02421116828918	19.840202081967483	213.30550956726074	2.63364945	214.86019158363342	0.000206530662
225.64436507225037	19.91819606276183	227.17639231681824	19.925663550726973	228.7131791114807	19.87122072936295	230.27337908744812	19.888941136422492	222.56145882606506	2.64975132	224.11296486854553	0.000207553864
234.91037154197693	19.958683956046787	236.43910765647888	19.959757343530214	237.96934127807617	19.909150619797142	239.51742911338806	19.93485823699445	231.8234875202179	2.6522302	233.37161231040955	0.000207033293
244.13640809059143	20.002043773713456	245.6675684452057	20.022077285802546	247.20711183547974	19.9608873600468	248.74762678146362	19.986571276424588	241.06342244148254	2.64133683	242.60671710968018	0.000207657432
253.35701608657837	20.059381926963084	254.89716506004333	20.07728115888843	256.42409586906433	20.018496852814938	257.951801776886	20.051672915053523	250.2818624973297	2.62341147	251.81928372383118	0.000206912109
262.58029890060425	20.112273640155134	264.10952043533325	20.136115657126762	265.63656282424927	20.069201552465874	267.1647436618805	20.09969235392498	259.48571515083313	2.60299955	261.042688369751	0.000208474456
