t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob	t_current_shunt	Current_shunt	t_diff_press	Diff_press
11.836297512054443	22.446936175946227	8.740920066833496	21.987332901064466	10.291084051132202	22.516036398246367	7.191238641738892	21.939793868768316	13.375356912612915	24.66074206688226	1.0327098369598389	0.0312405674	2.5731711387634277	-7.35910213e-06	4.12000298500061	-0.03421295024	5.654145240783691	0.2783235555555554
25.736159324645996	22.498718657587972	22.66557025909424	22.055085554423613	24.209460020065308	22.574845084639236	21.121904850006104	22.0067430752433	27.257044076919556	24.617069854166207	14.917619705200195	0.0311791795	16.466413497924805	-7.05383423e-06	18.02476215362549	-0.029238881879999998	19.574923038482666	0.28090895555555545
39.60581350326538	22.54880471854522	36.525670528411865	22.116262490294517	38.07015299797058	22.628601269995485	34.995288610458374	22.070843402368947	41.13627004623413	24.62087132457752	28.791965007781982	0.0311248463	30.33989667892456	-5.34792579e-06	31.892940521240234	-0.02297191332	33.433045864105225	0.2655236222222226
53.461896896362305	22.592336031145354	50.37440776824951	22.176844616498045	51.91672110557556	22.678389230293476	48.82907509803772	22.12786582425433	55.00510549545288	24.5956683368342	42.67127346992493	0.0310406332	44.21015167236328	-4.66106793e-06	45.73914432525635	-0.021122319919999997	47.28821349143982	0.2636378666666669
67.30739784240723	22.635729206239752	64.23825454711914	22.23184303621552	65.77522110939026	22.729412667990793	62.70193910598755	22.18568688821197	68.84655952453613	24.502422708100482	56.54220628738403	0.0310907791	58.08240485191345	-2.28176135e-06	59.614203214645386	-0.01149736792	61.151488304138184	0.3105469999999998
81.18578910827637	22.1386037442895	78.1022424697876	22.02792270220355	79.63666582107544	22.23608519320749	76.55256247520447	22.238485735068732	82.73178386688232	24.445400843529647	70.3802137374878	0.0311497715	71.91835188865662	-2.90575763e-06	73.46875190734863	-0.017710454520000002	75.00611281394958	0.2548901333333327
95.0561056137085	20.13387379930947	91.99119424819946	19.610906929210163	93.5202100276947	19.928175875763287	90.42928981781006	19.455820378872726	96.59658122062683	24.47397868898481	84.26922845840454	0.769795628	85.81228756904602	-1.73853943e-06	87.35760831832886	-0.012933840759999999	88.89749360084534	8.588971577777778
108.92116832733154	20.54983665829343	105.83091306686401	20.238614352394496	107.3712990283966	20.446012533337246	104.29399943351746	20.244366862110354	110.46224045753479	24.58154508853574	98.12398195266724	0.785448605	99.67245364189148	-1.41979107e-06	101.2144227027893	-0.01277221148	102.76358199119568	8.803138600000002
122.83120560646057	20.632997446767583	119.72714376449585	20.370522432089725	121.27996969223022	20.557643262250053	118.17328214645386	20.427094914533683	124.37388634681702	24.680827220446773	111.99990606307983	0.783984951	113.5443012714386	-1.86871094e-06	115.09011316299438	-0.01013249808	116.63378143310547	9.062207444444446
136.73781085014343	20.679658633042017	133.6414303779602	20.461756662942935	135.18847846984863	20.64650047228823	132.1028401851654	20.537814058583244	138.29004907608032	24.620397106900327	125.92545819282532	0.784538388	127.4698224067688	-1.60833464e-06	129.0102937221527	-0.00733119344	130.5524926185608	8.808613755555555
150.63702154159546	20.655481081655928	147.55764603614807	20.4407207430705	149.09552001953125	20.605757383290367	146.0206437110901	20.52210571876485	152.15965700149536	24.551427772854066	139.83704805374146	0.765092416	141.3744888305664	-2.05725774e-06	142.93097686767578	-0.01322111508	144.48025131225586	8.822941400000001
164.47329807281494	20.714104331570013	161.41093277931213	20.498910095206067	162.94474601745605	20.665269959781106	159.86132836341858	20.6113016388436	166.01722836494446	24.59077415835687	153.70613312721252	0.765612002	155.24893450737	-2.60046134e-06	156.78372597694397	-0.01291583316	158.3306586742401	8.873188066666668
178.38986611366272	20.765228322840336	175.29782366752625	20.566999370883302	176.84546542167664	20.718951281666378	173.75830721855164	20.647573819332248	179.93699479103088	24.395734644830114	167.57069945335388	0.764538932	169.10540628433228	-2.10214948e-06	170.6587951183319	-0.0039731909359999994	172.21210098266602	8.696729888888887
192.25578832626343	20.73122444231133	189.18162894248962	20.528741152642983	190.72105407714844	20.700472187609517	187.65373134613037	20.612670973897547	193.80078196525574	24.650667351229195	181.49168872833252	0.747215166	183.0302209854126	-1.89564701e-06	184.57140731811523	-0.01472952132	186.1202998161316	8.66520997777778
206.16861987113953	20.727229478590054	203.0886082649231	20.491754789277298	204.6276125907898	20.67582078626421	201.54512906074524	20.601582468410843	207.70518612861633	24.56208451248873	195.35156726837158	0.744755806	196.89260625839233	-2.52414604e-06	198.44992804527283	-0.01420875988	199.99681401252747	8.748006755555556
220.03895807266235	20.748429655641754	216.9458818435669	20.54302616338903	218.4916090965271	20.701100252621753	215.41171002388	20.65405766950829	221.5714819431305	24.4639407303584	209.24938249588013	0.754815396	210.79676747322083	-1.01125973e-06	212.33553457260132	-0.011425396999999999	213.87953686714172	8.83792448888889
233.8837411403656	20.744321394201943	230.80783772468567	20.543566678385748	232.34865307807922	20.709440150923374	229.26958513259888	20.640312648804777	235.42836475372314	24.560901573749728	223.10394883155823	0.773702828	224.64780926704407	-1.86421977e-06	226.18856191635132	-0.0059305220399999995	227.73007440567017	8.7348274
247.76819229125977	20.742081932327977	244.71159648895264	20.55721599629195	246.2340590953827	20.711442761344813	243.15952706336975	20.66968693786299	249.30486679077148	24.71721198592437	236.9804127216339	0.748590038	238.53295850753784	-2.03032074e-06	240.06698060035706	-0.01049162308	241.62186813354492	8.682712755555556
261.62217450141907	20.745562108758488	258.54439640045166	20.542459909669123	260.08127999305725	20.704994774874468	257.0093493461609	20.62869121718974	263.16050815582275	24.71981516115709	250.85690307617188	0.760288997	252.396404504776	-2.11562092e-06	253.93892407417297	-0.01613016936	255.4733603000641	8.695656400000003
275.4994466304779	20.729988885610872	272.4114136695862	20.537904144282955	273.96127700805664	20.694930294490277	270.8788709640503	20.62182648970523	277.0474536418915	24.820112897922474	264.68750166893005	0.774758298	266.24372839927673	-2.47476623e-06	267.7830924987793	-0.01160498868	269.3332190513611	8.714731022222225
289.39913845062256	20.702685860242834	286.3155586719513	20.504008900791796	287.86000394821167	20.665627744977083	284.77161860466003	20.63368726785268	290.9494092464447	24.81093933438085	278.5823004245758	0.765017299	280.13494658470154	-2.25929093e-06	281.68375420570374	-0.008695985160000001	283.22946524620056	8.785667044444446
303.30785393714905	20.7423033042978	300.21814465522766	20.528035912053305	301.76410269737244	20.700155581140315	298.677836894989	20.609185863111488	304.8517725467682	24.839591786615028	292.49549555778503	0.73467099	294.03525710105896	-2.74863027e-06	295.58625888824463	-0.0100248414	297.13505125045776	8.620909155555553
317.1926894187927	20.701823557242378	314.12215924263	20.500765843582524	315.6612505912781	20.666176005855608	312.5740170478821	20.570762413045184	318.7223048210144	24.804668147594146	306.3901295661926	0.774681496	307.9394443035126	-2.34909241e-06	309.4804883003235	-0.011748724280000001	311.03212213516235	8.765964066666669
331.03698110580444	20.68142955324203	327.9554371833801	20.49981094384	329.5008456707001	20.648670332639835	326.42950677871704	20.615301540565692	332.57743406295776	24.7433341333642	320.26871705055237	0.77437439	321.8006868362427	-2.49274306e-06	323.3459837436676	-0.01024033104	324.89094257354736	8.657720244444445
344.97958111763	20.684554407290683	341.86810183525085	20.501463358074307	343.42669105529785	20.648621427105944	340.32013607025146	20.622732519431647	346.5159993171692	24.576047867276554	334.1273226737976	0.743753464	335.6800456047058	-2.03034967e-06	337.2189428806305	-0.010240338679999999	338.7787127494812	9.083842800000001
358.8638958930969	20.67194948423195	355.77280259132385	20.48039640580513	357.3147678375244	20.648940600082227	354.2284400463104	20.564742062466316	360.3975124359131	24.71328918882851	348.0593316555023	0.794773704	349.5971667766571	-1.62631689e-06	351.14131808280945	-0.00966573364	352.68975830078125	8.681204555555556
372.7540855407715	20.656827275141993	369.6676387786865	20.458760719704618	371.2066640853882	20.62512114477651	368.1226124763489	20.571483105618867	374.2903251647949	24.500855794721232	361.9401066303253	0.748684663	363.47867727279663	-1.98097471e-06	365.0351150035858	-0.010294224040000001	366.584673166275	8.836275888888887
386.63333201408386	20.6504180626464	383.5471148490906	20.464582734444374	385.0830726623535	20.62468872105867	382.0201461315155	20.570381475607746	388.1794729232788	24.626762972203423	375.84561681747437	0.77226288	377.3780891895294	-1.76100738e-06	378.92749857902527	-0.010958662119999999	380.46808886528015	8.630607666666666
400.53605461120605	20.616526736885476	397.45288825035095	20.411327689940762	399.0020067691803	20.56679088509158	395.905161857605	20.50342720940849	402.0665354728699	24.765691011437713	389.7316725254059	0.742967258	391.2732107639313	-1.72958185e-06	392.8275923728943	-0.01049177696	394.3680908679962	15.121360288888889
414.45407915115356	20.599142385408562	411.3659727573395	20.414292729283883	412.9083733558655	20.552781184716398	409.80166840553284	20.505403930874493	416.001008272171	24.791185062812144	403.60278129577637	1.49324795	405.15798163414	-1.67122756e-06	406.7151725292206	-0.00957596904	408.25403118133545	21.667852222222223
428.30782890319824	20.663892873406635	425.2434527873993	20.515115102694903	426.76678705215454	20.63474773944534	423.707631111145	20.627489180714953	429.87560272216797	24.644860688319948	417.54673743247986	1.53511124	419.0913460254669	-2.39399082e-06	420.64528822898865	-0.010294250159999999	422.1835663318634	21.64698866666667
442.20472145080566	20.71937600171763	439.1257972717285	20.537741990025033	440.66586089134216	20.684438576539733	437.5718500614166	20.65338328648003	443.74378085136414	24.783839142436115	431.410986661911	1.51561578	432.9457862377167	-1.55001398e-06	434.4957540035248	-0.01314941064	436.03863048553467	21.640769333333335
456.05840373039246	20.703875066778085	452.9696795940399	20.51097376013939	454.5110008716583	20.64723920269592	451.43986654281616	20.65661620842509	457.60812544822693	24.689180418751256	445.2749125957489	1.52439207	446.81763792037964	-1.55449532e-06	448.36018896102905	-0.0116410014	449.9040575027466	21.589845555555552
469.9619052410126	20.703187797980338	466.88633847236633	20.544454667484015	468.42659854888916	20.685051192583224	465.34073543548584	20.651061557083782	471.4985749721527	24.86125939946056	459.1557867527008	1.48532277	460.7062656879425	-1.47369266e-06	462.25283551216125	-0.00874993364	463.79824352264404	21.93805288888889
483.80428409576416	20.70354301553185	480.7260568141937	20.544699186259535	482.2537887096405	20.684379374158357	479.1978554725647	20.657043489847627	485.3419756889343	24.83050572682579	473.0411539077759	1.49835658	474.56869888305664	-2.08871308e-06	476.1038444042206	-0.00655913504	477.652019739151	21.771441111111116
497.69352293014526	20.67531370708385	494.5978503227234	20.500647446299183	496.15807342529297	20.63923158309512	493.0586099624634	20.61183187000379	499.2414755821228	24.762368646391923	486.8929648399353	1.50542222	488.44201946258545	-1.58591457e-06	489.9856457710266	-0.01392152304	491.5196108818054	21.750804888888894
511.59102869033813	20.681602012118763	508.52138018608093	20.502073361609497	510.0606646537781	20.649607259905345	506.9688198566437	20.597237680729332	513.1278812885284	24.71540780742295	500.79455184936523	1.50549465	502.339964389801	-2.61845225e-06	503.88700771331787	-0.00697219716	505.4256818294525	21.65777466666667
525.4622521400452	20.67364832603626	522.3897285461426	20.464497797850054	523.914968252182	20.622817459734723	520.8412342071533	20.602344351301014	527.0026032924652	24.809258766928078	514.6741399765015	1.49448124	516.2177858352661	-1.6846903e-06	517.7644317150116	-0.010599504119999999	519.2952105998993	21.586170222222226
539.3815417289734	20.64748630420744	536.2982368469238	20.46452353621182	537.8409914970398	20.60647808439897	534.7566704750061	20.59884123607026	540.9169590473175	24.606010832855066	528.5505020618439	1.50509595	530.1094822883606	-2.35807796e-06	531.6668312549591	-0.01103049124	533.2103192806244	21.753154666666667
553.2429978847504	20.641128596336397	550.1753640174866	20.461422064399798	551.7132189273834	20.608848677593365	548.647463798523	20.587716750124073	554.7787857055664	24.62190223291873	542.4649186134338	1.46714162	544.0155000686646	-2.28624955e-06	545.5619306564331	-0.0110304756	547.1104311943054	21.744824
