t_block_1	T_block_1	t_water_in	T_water_in	t_block_2	T_block_2	t_water_out	T_water_out	t_amb	T_amb	t_flow	V_flow	t_block_prob	V_block_prob
7.445854663848877	19.424951596462535	8.989469051361084	19.224304895699685	10.535606622695923	19.833565861625438	12.077434062957764	19.828924619970316	13.605223655700684	23.948974074837235	1.2710068225860596	3.25165847	2.821826934814453	0.0166576287
21.311463356018066	19.439091166224383	22.851293087005615	19.244967738205528	24.374658346176147	19.844938555478112	25.910037755966187	19.83331101820188	27.454987287521362	23.876827751600963	15.148814916610718	3.23445878	16.6994206905365	0.0166594201
35.137205600738525	19.44496529949101	36.668638706207275	19.2412201964152	38.19427227973938	19.844712028609937	39.75689768791199	19.817381988306412	41.29970693588257	24.153164024378587	28.979709148406982	3.26388619	30.523308038711548	0.0166526952
49.05505847930908	19.43518623863664	50.600465059280396	19.251667521167647	52.13186287879944	19.85683634603431	53.679885387420654	19.829081644865095	55.226057291030884	23.998641763939094	42.851837158203125	3.25381751	44.41284704208374	0.0166544887
62.91748857498169	19.441745078573533	64.4376380443573	19.246630455387645	65.9629807472229	19.85871033476829	67.49998188018799	19.849363549332534	69.04783606529236	23.994296433542583	56.75995659828186	3.23380122	58.30748987197876	0.0166531443
76.74468898773193	19.455457426801246	78.28363704681396	19.265883097421035	79.81973600387573	19.875836178533667	81.36046314239502	19.86134369920503	82.90930914878845	23.810566756317336	70.59171199798584	3.23437973	72.133859872818	0.0166531433
90.6183876991272	19.458718848740965	92.15674090385437	19.25845227080729	93.69010543823242	19.88546862372578	95.22760653495789	19.843419795550542	96.77380061149597	23.768455913062393	84.44507956504822	3.24436686	86.00173592567444	0.0166522471
104.52018737792969	19.47094856789173	106.07060718536377	19.270647389602217	107.6144871711731	19.898766601948754	109.15196895599365	19.856308642993486	110.70442652702332	23.56678417575318	98.3189868927002	3.23449828	99.87438130378723	0.0166517979
118.41470980644226	19.485773077283365	119.95701169967651	19.283859298773937	121.50234246253967	19.902944410213927	123.02780795097351	19.860115825698784	124.56872940063477	23.912156281105727	112.24519729614258	3.24440202	113.78170609474182	0.0166513508
132.30254411697388	19.476722370611625	133.83176970481873	19.274986999950467	135.3690893650055	19.91037847471631	136.9125533103943	19.86887052895354	138.45162343978882	23.964188157753906	126.09727358818054	3.23446443	127.6374351978302	0.0166571763
